person,sites
http://www.wikidata.org/entity/Q11934,164
http://www.wikidata.org/entity/Q315796,114
http://www.wikidata.org/entity/Q4653,105
http://www.wikidata.org/entity/Q2695156,104
http://www.wikidata.org/entity/Q338430,102
http://www.wikidata.org/entity/Q79015,100
http://www.wikidata.org/entity/Q159709,92
http://www.wikidata.org/entity/Q6550,92
http://www.wikidata.org/entity/Q12379,90
http://www.wikidata.org/entity/Q188760,89
http://www.wikidata.org/entity/Q122634,88
http://www.wikidata.org/entity/Q82732,83
http://www.wikidata.org/entity/Q3244512,82
http://www.wikidata.org/entity/Q12206942,81
http://www.wikidata.org/entity/Q188574,80
http://www.wikidata.org/entity/Q174009,78
http://www.wikidata.org/entity/Q180704,77
http://www.wikidata.org/entity/Q173998,76
http://www.wikidata.org/entity/Q165170,75
http://www.wikidata.org/entity/Q7810,75
http://www.wikidata.org/entity/Q131346,74
http://www.wikidata.org/entity/Q170241,73
http://www.wikidata.org/entity/Q185790,72
http://www.wikidata.org/entity/Q176132,72
http://www.wikidata.org/entity/Q11936,72
http://www.wikidata.org/entity/Q712548,70
http://www.wikidata.org/entity/Q107190,68
http://www.wikidata.org/entity/Q176772,67
http://www.wikidata.org/entity/Q30908,67
http://www.wikidata.org/entity/Q174546,65
http://www.wikidata.org/entity/Q199796,65
http://www.wikidata.org/entity/Q202857,65
http://www.wikidata.org/entity/Q193461,64
http://www.wikidata.org/entity/Q177439,63
http://www.wikidata.org/entity/Q177499,63
http://www.wikidata.org/entity/Q217533,63
http://www.wikidata.org/entity/Q183102,62
http://www.wikidata.org/entity/Q6502703,62
http://www.wikidata.org/entity/Q5480,61
http://www.wikidata.org/entity/Q170534,60
http://www.wikidata.org/entity/Q131200,59
http://www.wikidata.org/entity/Q186422,59
http://www.wikidata.org/entity/Q191626,59
http://www.wikidata.org/entity/Q179641,59
http://www.wikidata.org/entity/Q51746,59
http://www.wikidata.org/entity/Q187349,58
http://www.wikidata.org/entity/Q185737,58
http://www.wikidata.org/entity/Q184689,58
http://www.wikidata.org/entity/Q931,57
http://www.wikidata.org/entity/Q108732,56
http://www.wikidata.org/entity/Q177329,56
http://www.wikidata.org/entity/Q111135,56
http://www.wikidata.org/entity/Q51730,56
http://www.wikidata.org/entity/Q3266236,56
http://www.wikidata.org/entity/Q6668,56
http://www.wikidata.org/entity/Q7828,55
http://www.wikidata.org/entity/Q158952,54
http://www.wikidata.org/entity/Q180322,54
http://www.wikidata.org/entity/Q148659,54
http://www.wikidata.org/entity/Q1631090,54
http://www.wikidata.org/entity/Q216445,54
http://www.wikidata.org/entity/Q51797,54
http://www.wikidata.org/entity/Q6567,54
http://www.wikidata.org/entity/Q488159,53
http://www.wikidata.org/entity/Q11937,52
http://www.wikidata.org/entity/Q122018,52
http://www.wikidata.org/entity/Q51802,52
http://www.wikidata.org/entity/Q108636,51
http://www.wikidata.org/entity/Q192179,51
http://www.wikidata.org/entity/Q5846,51
http://www.wikidata.org/entity/Q190529,50
http://www.wikidata.org/entity/Q1740,50
http://www.wikidata.org/entity/Q2142,50
http://www.wikidata.org/entity/Q210593,50
http://www.wikidata.org/entity/Q210372,50
http://www.wikidata.org/entity/Q327553,50
http://www.wikidata.org/entity/Q715763,50
http://www.wikidata.org/entity/Q332885,49
http://www.wikidata.org/entity/Q51770,49
http://www.wikidata.org/entity/Q216810,48
http://www.wikidata.org/entity/Q713701,48
http://www.wikidata.org/entity/Q319918,47
http://www.wikidata.org/entity/Q51803,47
http://www.wikidata.org/entity/Q623059,47
http://www.wikidata.org/entity/Q11773777,46
http://www.wikidata.org/entity/Q193531,46
http://www.wikidata.org/entity/Q211013,46
http://www.wikidata.org/entity/Q51788,46
http://www.wikidata.org/entity/Q849477,46
http://www.wikidata.org/entity/Q204274,45
http://www.wikidata.org/entity/Q51787,45
http://www.wikidata.org/entity/Q907767,45
http://www.wikidata.org/entity/Q1124554,44
http://www.wikidata.org/entity/Q189169,44
http://www.wikidata.org/entity/Q164083,44
http://www.wikidata.org/entity/Q223684,44
http://www.wikidata.org/entity/Q226822,44
http://www.wikidata.org/entity/Q272805,44
http://www.wikidata.org/entity/Q215681,44
http://www.wikidata.org/entity/Q51736,44
http://www.wikidata.org/entity/Q51789,44
http://www.wikidata.org/entity/Q507001,44
http://www.wikidata.org/entity/Q46302,44
http://www.wikidata.org/entity/Q583810,44
http://www.wikidata.org/entity/Q611993,44
http://www.wikidata.org/entity/Q187923,43
http://www.wikidata.org/entity/Q190366,43
http://www.wikidata.org/entity/Q206018,43
http://www.wikidata.org/entity/Q283111,43
http://www.wikidata.org/entity/Q29372,43
http://www.wikidata.org/entity/Q203240,43
http://www.wikidata.org/entity/Q308950,43
http://www.wikidata.org/entity/Q845864,43
http://www.wikidata.org/entity/Q935079,43
http://www.wikidata.org/entity/Q838076,43
http://www.wikidata.org/entity/Q190282,42
http://www.wikidata.org/entity/Q12389,42
http://www.wikidata.org/entity/Q210548,42
http://www.wikidata.org/entity/Q208426,42
http://www.wikidata.org/entity/Q208657,42
http://www.wikidata.org/entity/Q477948,42
http://www.wikidata.org/entity/Q329466,42
http://www.wikidata.org/entity/Q52986,42
http://www.wikidata.org/entity/Q552682,42
http://www.wikidata.org/entity/Q7404282,42
http://www.wikidata.org/entity/Q223757,41
http://www.wikidata.org/entity/Q219473,41
http://www.wikidata.org/entity/Q206818,41
http://www.wikidata.org/entity/Q466462,41
http://www.wikidata.org/entity/Q745077,41
http://www.wikidata.org/entity/Q692603,41
http://www.wikidata.org/entity/Q715597,41
http://www.wikidata.org/entity/Q753713,41
http://www.wikidata.org/entity/Q191527,40
http://www.wikidata.org/entity/Q17221976,40
http://www.wikidata.org/entity/Q19095,40
http://www.wikidata.org/entity/Q1621261,40
http://www.wikidata.org/entity/Q1107971,40
http://www.wikidata.org/entity/Q461606,40
http://www.wikidata.org/entity/Q51766,40
http://www.wikidata.org/entity/Q369197,40
http://www.wikidata.org/entity/Q51725,40
http://www.wikidata.org/entity/Q3183235,40
http://www.wikidata.org/entity/Q715162,40
http://www.wikidata.org/entity/Q917583,40
http://www.wikidata.org/entity/Q5651141,40
http://www.wikidata.org/entity/Q1650639,39
http://www.wikidata.org/entity/Q17298,39
http://www.wikidata.org/entity/Q1767,39
http://www.wikidata.org/entity/Q1057918,39
http://www.wikidata.org/entity/Q161731,39
http://www.wikidata.org/entity/Q47352,39
http://www.wikidata.org/entity/Q613241,39
http://www.wikidata.org/entity/Q694790,39
http://www.wikidata.org/entity/Q745284,39
http://www.wikidata.org/entity/Q5350072,39
http://www.wikidata.org/entity/Q751417,39
http://www.wikidata.org/entity/Q729150,39
http://www.wikidata.org/entity/Q907,39
http://www.wikidata.org/entity/Q16341,38
http://www.wikidata.org/entity/Q1077456,38
http://www.wikidata.org/entity/Q21515016,38
http://www.wikidata.org/entity/Q221196,38
http://www.wikidata.org/entity/Q836789,38
http://www.wikidata.org/entity/Q716941,38
http://www.wikidata.org/entity/Q7540067,38
http://www.wikidata.org/entity/Q741321,38
http://www.wikidata.org/entity/Q60062,38
http://www.wikidata.org/entity/Q841669,38
http://www.wikidata.org/entity/Q2009573,37
http://www.wikidata.org/entity/Q1064404,37
http://www.wikidata.org/entity/Q1616457,37
http://www.wikidata.org/entity/Q1043344,37
